arm,arm_label,ensembl,gene_symbol,log2_fold_change,p_value,fdr,mean_unfavourable,mean_cured
DX,Pre-treatment,ENSG00000175826,CTDNEP1,-0.007299092385728123,0.6621854669593195,0.8120146106682525,7.8702766665076,7.877575758893328
DX,Pre-treatment,ENSG00000188921,PTPLAD2,0.02209479205383591,0.6621854669593195,0.8120146106682525,6.21567321018954,6.193578418135704
DX,Pre-treatment,ENSG00000108256,NUFIP2,-0.062022573381279145,0.6621854669593195,0.8120146106682525,6.874382604308138,6.936405177689418
DX,Pre-treatment,ENSG00000142945,KIF2C,-0.036849196338939016,0.6621854669593195,0.8120146106682525,1.524534233709977,1.561383430048916
DX,Pre-treatment,ENSG00000267161,ENSG00000267161,0.015050687417031139,0.6621854669593195,0.8120146106682525,0.5143849859399184,0.4993342985228873
DX,Pre-treatment,ENSG00000125912,NCLN,-0.041721591382121836,0.6621854669593195,0.8120146106682525,6.590916666549522,6.632638257931644
DX,Pre-treatment,ENSG00000180354,MTURN,-0.13515826063956293,0.6621854669593195,0.8120146106682525,5.759924366441396,5.895082627080959
DX,Pre-treatment,ENSG00000261229,MTHFS,-0.01771304652983957,0.6621854669593195,0.8120146106682525,0.16335968648842705,0.18107273301826662
DX,Pre-treatment,ENSG00000100399,CHADL,0.0028239910227970677,0.6621854669593195,0.8120146106682525,0.5056173521163494,0.5027933610935523
DX,Pre-treatment,ENSG00000173566,ENSG00000173566,0.10550000588116504,0.6621854669593195,0.8120146106682525,4.117108657896207,4.011608652015042
DX,Pre-treatment,ENSG00000175606,TMEM70,0.05654847874780611,0.6621854669593195,0.8120146106682525,3.9722530771069096,3.9157045983591034
DX,Pre-treatment,ENSG00000174943,KCTD13,-0.01432175937004132,0.6621854669593195,0.8120146106682525,4.599931283688188,4.61425304305823
DX,Pre-treatment,ENSG00000115446,UNC50,-0.02537453208900864,0.6621854669593195,0.8120146106682525,4.3335368009241675,4.358911333013176
DX,Pre-treatment,ENSG00000105778,AVL9,-0.03592398517686668,0.6621854669593195,0.8120146106682525,5.522482133645786,5.558406118822653
DX,Pre-treatment,ENSG00000180875,GREM2,-0.044639526516032646,0.6621854669593195,0.8120146106682525,0.43745590708019605,0.4820954335962287
DX,Pre-treatment,ENSG00000126254,RBM42,-0.03702689138496762,0.6621854669593195,0.8120146106682525,6.285176555379566,6.322203446764534
DX,Pre-treatment,ENSG00000189420,ZFP92,-0.019069667220233205,0.6621854669593195,0.8120146106682525,0.22280593283261582,0.24187560005284903
DX,Pre-treatment,ENSG00000159761,C16orf86,-0.02158074437829871,0.6621854669593195,0.8120146106682525,2.2525621175251205,2.274142861903419
DX,Pre-treatment,ENSG00000102053,ZC3H12B,-0.05000593300610612,0.6621854669593195,0.8120146106682525,0.8315160072016461,0.8815219402077522
DX,Pre-treatment,ENSG00000165782,TMEM55B,-0.013797088494047927,0.6621854669593195,0.8120146106682525,5.637690533245416,5.651487621739464
DX,Pre-treatment,ENSG00000239779,WBP1,-0.029965649951067874,0.6621854669593195,0.8120146106682525,5.675212210430863,5.705177860381931
DX,Pre-treatment,ENSG00000272791,RP11-464F9.22,0.007481591536806387,0.6621854669593195,0.8120146106682525,0.27565161874456345,0.26817002720775707
