ensembl,mean_failure,mean_cure,log2FC,p_value,rank_biserial,fdr,gene_symbol
ENSG00000111879,0.042461216423523476,0.05316379072511743,-0.32429826760361585,0.6256889122089905,0.08433734939759041,0.8431910550565481,FAM184A
ENSG00000136271,1.9117683506644014,1.9199155278797144,-0.006135114610388713,0.6261518747693631,0.11531841652323582,0.8431910550565481,DDX56
ENSG00000121578,1.4934504847701853,1.474531244638043,0.01839301322496314,0.6261518747693631,-0.11531841652323571,0.8431910550565481,B4GALT4
ENSG00000160256,1.3755625777113354,1.385891717391475,-0.010792768221468062,0.6261518747693631,-0.11531841652323571,0.8431910550565481,SLX9
ENSG00000163735,1.1439919749269019,1.2163060389103735,-0.0884293441167174,0.6261518747693631,0.11531841652323582,0.8431910550565481,CXCL5
ENSG00000178188,1.9860221678237262,1.9910186119803162,-0.0036249811830913943,0.6261518747693631,0.11531841652323582,0.8431910550565481,SH2B1
ENSG00000082153,1.9252246631288636,1.9180527749619545,0.005384393743998606,0.6261518747693631,-0.11531841652323571,0.8431910550565481,BZW1
ENSG00000135049,1.9762850857341794,1.963236863762773,0.009556831615368199,0.6261518747693631,-0.11531841652323571,0.8431910550565481,AGTPBP1
ENSG00000144233,1.6621253698143637,1.6683509180861467,-0.005393569746633007,0.6261518747693631,0.11531841652323582,0.8431910550565481,AMMECR1L
ENSG00000108175,1.9811782763922945,1.9886544456606248,-0.005433904060491998,0.6261518747693631,0.11531841652323582,0.8431910550565481,ZMIZ1
ENSG00000147437,0.9666198988322459,0.9802295986686002,-0.020171016113295873,0.6261518747693631,0.11531841652323582,0.8431910550565481,GNRH1
ENSG00000110092,0.8193189624794055,0.8356975973300811,-0.028555782787773015,0.6261518747693631,0.11531841652323582,0.8431910550565481,CCND1
ENSG00000143653,1.4565562827519305,1.4480221732091294,0.008477755463253977,0.6261518747693631,-0.11531841652323571,0.8431910550565481,SCCPDH
ENSG00000171307,1.65790230006468,1.664417235408008,-0.0056581414599975845,0.6261518747693631,0.11531841652323582,0.8431910550565481,ZDHHC16
ENSG00000197535,1.8485128031085911,1.8532013905658706,-0.003654634114382842,0.6261518747693631,0.11531841652323582,0.8431910550565481,MYO5A
ENSG00000175324,1.4678574243904154,1.446963675335089,0.02068313861032557,0.6261518747693631,-0.11531841652323571,0.8431910550565481,LSM1
ENSG00000125870,1.6655536620602727,1.6779296566300712,-0.010680398748642256,0.6261518747693631,0.11531841652323582,0.8431910550565481,SNRPB2
ENSG00000115138,1.0303428198154607,0.9176325972167786,0.16713588994475037,0.6261518747693631,-0.11531841652323571,0.8431910550565481,POMC
ENSG00000183386,1.9987261737205162,1.9772944312500138,0.015553122629035068,0.6261518747693631,-0.11531841652323571,0.8431910550565481,FHL3
ENSG00000103245,1.7274881657075416,1.7367403890947677,-0.0077062863013465386,0.6261518747693631,0.11531841652323582,0.8431910550565481,CIAO3
ENSG00000100632,1.6984031075149453,1.7111521087660677,-0.010789094427450912,0.6261518747693631,0.11531841652323582,0.8431910550565481,ERH
ENSG00000167232,1.0556214413093394,1.0897159810071642,-0.045859606532351875,0.6261518747693631,0.11531841652323582,0.8431910550565481,ZNF91
ENSG00000144580,1.8704027295130958,1.8772320192029004,-0.005258032828525546,0.6261518747693631,0.11531841652323582,0.8431910550565481,CNOT9
ENSG00000007402,1.0990193175162157,1.2113260344715928,-0.14037048094527532,0.6261518747693631,0.11531841652323582,0.8431910550565481,CACNA2D2
